,Lat,Long,prec,Date,Site_ID,tmin,tmax
182,-3.25,-61.25,376.9,2013-03-01,68,24.0,31.0
183,-3.25,-61.25,376.46,2013-04-01,68,24.0,31.0
184,-3.25,-61.25,270.08,2013-05-01,68,24.0,31.0
185,-3.25,-61.25,104.14,2013-06-01,68,24.06,32.0
186,-3.25,-61.25,136.73,2013-07-01,68,23.06,31.0
187,-3.25,-61.25,68.91,2013-08-01,68,24.0,32.0
188,-3.25,-61.25,133.31,2013-09-01,68,24.0,32.38
189,-3.25,-61.25,175.72,2013-10-01,68,24.0,33.0
190,-3.25,-61.25,244.1,2013-11-01,68,24.0,31.0
191,-3.25,-61.25,131.05,2013-12-01,68,24.06,32.0
192,-3.25,-61.25,297.89,2014-01-01,68,24.0,31.0
193,-3.25,-61.25,344.79,2014-02-01,68,23.25,30.0
194,-3.25,-61.25,403.62,2014-03-01,68,24.0,30.0
195,-3.25,-61.25,253.69,2014-04-01,68,24.06,31.0
196,-3.25,-61.25,295.24,2014-05-01,68,24.0,31.0
197,-3.25,-61.25,158.23,2014-06-01,68,24.25,31.0
198,-3.25,-61.25,99.59,2014-07-01,68,24.0,32.0
199,-3.25,-61.25,68.26,2014-08-01,68,23.81,32.38
200,-3.25,-61.25,48.37,2014-09-01,68,24.06,34.0
201,-3.25,-61.25,171.18,2014-10-01,68,24.0,32.0
202,-3.25,-61.25,204.93,2014-11-01,68,24.12,32.0
203,-3.25,-61.25,185.11,2014-12-01,68,24.06,32.0
204,-3.25,-61.25,307.01,2015-01-01,68,23.5,31.0
205,-3.25,-61.25,251.37,2015-02-01,68,24.0,32.0
206,-3.25,-61.25,373.01,2015-03-01,68,24.0,30.31
207,-3.25,-61.25,282.42,2015-04-01,68,24.0,31.0
208,-3.25,-61.25,270.96,2015-05-01,68,24.0,31.0
209,-3.25,-61.25,109.77,2015-06-01,68,24.0,32.0
210,-3.25,-61.25,45.09,2015-07-01,68,24.06,32.31
211,-3.25,-61.25,22.86,2015-08-01,68,25.0,34.0
212,-3.25,-61.25,20.41,2015-09-01,68,25.0,35.0
213,-3.25,-61.25,43.71,2015-10-01,68,24.19,33.81
214,-3.25,-61.25,94.24,2015-11-01,68,24.06,33.0
215,-3.25,-61.25,163.94,2015-12-01,68,24.0,32.0
216,-3.25,-61.25,154.84,2016-01-01,68,25.0,32.0
217,-3.25,-61.25,229.74,2016-02-01,68,23.0,30.0
218,-3.25,-61.25,296.35,2016-03-01,68,24.0,31.0
219,-3.25,-61.25,236.03,2016-04-01,68,24.0,32.0
220,-3.25,-61.25,108.44,2016-05-01,68,24.0,31.0
221,-3.25,-61.25,92.4,2016-06-01,68,24.0,32.0
222,-3.25,-61.25,96.37,2016-07-01,68,24.0,32.31
223,-3.25,-61.25,55.19,2016-08-01,68,23.38,33.0
224,-3.25,-61.25,107.5,2016-09-01,68,23.06,32.0
225,-3.25,-61.25,127.86,2016-10-01,68,23.44,32.81
226,-3.25,-61.25,138.86,2016-11-01,68,24.0,33.0
227,-3.25,-61.25,431.81,2016-12-01,68,24.0,31.0
228,-3.25,-61.25,365.17,2017-01-01,68,23.0,31.0
229,-3.25,-61.25,317.11,2017-02-01,68,23.12,31.0
230,-3.25,-61.25,235.98,2017-03-01,68,23.0,31.0
231,-3.25,-61.25,299.89,2017-04-01,68,24.0,31.25
232,-3.25,-61.25,149.05,2017-05-01,68,23.25,32.0
233,-3.25,-61.25,128.64,2017-06-01,68,24.0,32.0
234,-3.25,-61.25,73.32,2017-07-01,68,24.0,32.31
235,-3.25,-61.25,36.61,2017-08-01,68,22.19,31.75
236,-3.25,-61.25,148.98,2017-09-01,68,24.0,32.5
237,-3.25,-61.25,126.2,2017-10-01,68,24.0,32.0
238,-3.25,-61.25,152.51,2017-11-01,68,24.0,32.0
239,-3.25,-61.25,409.34,2017-12-01,68,24.0,31.0
240,-3.25,-61.25,267.14,2018-01-01,68,23.0,31.0
241,-3.25,-61.25,318.24,2018-02-01,68,24.0,31.0
242,-3.25,-61.25,266.06,2018-03-01,68,24.0,31.0
243,-3.25,-61.25,356.16,2018-04-01,68,24.0,30.0
244,-3.25,-61.25,208.04,2018-05-01,68,23.81,30.0
245,-3.25,-61.25,194.93,2018-06-01,68,24.0,31.0
246,-3.25,-61.25,88.11,2018-07-01,68,24.0,32.0
247,-3.25,-61.25,76.46,2018-08-01,68,23.38,33.0
248,-3.25,-61.25,93.15,2018-09-01,68,24.06,33.44
249,-3.25,-61.25,61.76,2018-10-01,68,22.38,32.0
250,-3.25,-61.25,162.87,2018-11-01,68,24.06,32.0
251,-3.25,-61.25,379.28,2018-12-01,68,23.06,31.0
252,-3.25,-61.25,366.64,2019-01-01,68,24.0,31.0
253,-3.25,-61.25,349.61,2019-02-01,68,24.12,31.0
254,-3.25,-61.25,437.24,2019-03-01,68,24.06,32.0
255,-3.25,-61.25,310.83,2019-04-01,68,24.19,31.0
256,-3.25,-61.25,306.71,2019-05-01,68,24.06,30.0
257,-3.25,-61.25,97.93,2019-06-01,68,24.19,31.0
258,-3.25,-61.25,122.29,2019-07-01,68,24.06,31.0
259,-3.25,-61.25,56.74,2019-08-01,68,24.0,32.38
260,-3.25,-61.25,175.59,2019-09-01,68,24.0,33.0
261,-3.25,-61.25,217.98,2019-10-01,68,23.06,32.0
262,-3.25,-61.25,188.07,2019-11-01,68,24.0,32.0
263,-3.25,-61.25,308.8,2019-12-01,68,24.0,31.0
264,-3.25,-59.75,358.01,2000-01-01,69,23.0,30.0
265,-3.25,-59.75,305.45,2000-02-01,69,23.0,30.0
266,-3.25,-59.75,349.21,2000-03-01,69,23.0,30.0
267,-3.25,-59.75,443.04,2000-04-01,69,23.0,30.0
268,-3.25,-59.75,235.28,2000-05-01,69,23.0,31.0
269,-3.25,-59.75,69.1,2000-06-01,69,24.0,31.0
270,-3.25,-59.75,57.24,2000-07-01,69,23.0,31.0
271,-3.25,-59.75,125.54,2000-08-01,69,23.0,32.0
272,-3.25,-59.75,185.51,2000-09-01,69,23.0,32.62
273,-3.25,-59.75,74.51,2000-10-01,69,23.69,32.81
274,-3.25,-59.75,138.14,2000-11-01,69,24.0,32.0
275,-3.25,-59.75,155.77,2000-12-01,69,23.0,32.0
276,-3.25,-59.75,386.24,2001-01-01,69,22.44,30.0
277,-3.25,-59.75,256.8,2001-02-01,69,23.0,30.0
278,-3.25,-59.75,239.18,2001-03-01,69,23.0,31.0
279,-3.25,-59.75,221.34,2001-04-01,69,23.0,30.31
280,-3.25,-59.75,235.88,2001-05-01,69,24.0,31.0
281,-3.25,-59.75,161.1,2001-06-01,69,23.0,30.0
282,-3.25,-59.75,57.51,2001-07-01,69,22.62,31.0
283,-3.25,-59.75,28.16,2001-08-01,69,24.0,33.0
284,-3.25,-59.75,89.91,2001-09-01,69,23.69,33.0
285,-3.25,-59.75,73.82,2001-10-01,69,24.0,34.0
286,-3.25,-59.75,195.01,2001-11-01,69,24.0,33.0
287,-3.25,-59.75,199.08,2001-12-01,69,24.0,32.0
288,-3.25,-59.75,348.36,2002-01-01,69,24.0,31.0
289,-3.25,-59.75,283.76,2002-02-01,69,24.0,31.0
290,-3.25,-59.75,246.19,2002-03-01,69,23.12,30.0
291,-3.25,-59.75,378.44,2002-04-01,69,23.06,30.0
292,-3.25,-59.75,270.7,2002-05-01,69,24.0,30.94
293,-3.25,-59.75,164.62,2002-06-01,69,23.0,31.0
294,-3.25,-59.75,15.41,2002-07-01,69,24.0,32.0
295,-3.25,-59.75,44.97,2002-08-01,69,24.0,33.0
296,-3.25,-59.75,51.04,2002-09-01,69,24.0,34.0
297,-3.25,-59.75,181.19,2002-10-01,69,24.0,33.81
298,-3.25,-59.75,70.71,2002-11-01,69,24.0,33.0
299,-3.25,-59.75,279.81,2002-12-01,69,24.0,31.0
300,-3.25,-59.75,142.42,2003-01-01,69,24.44,32.0
301,-3.25,-59.75,307.31,2003-02-01,69,24.0,30.88
302,-3.25,-59.75,249.62,2003-03-01,69,24.0,31.0
303,-3.25,-59.75,385.52,2003-04-01,69,24.0,31.0
304,-3.25,-59.75,227.68,2003-05-01,69,24.0,31.0
305,-3.25,-59.75,116.68,2003-06-01,69,23.0,31.0
306,-3.25,-59.75,90.41,2003-07-01,69,23.0,31.81
307,-3.25,-59.75,117.83,2003-08-01,69,23.12,32.0
308,-3.25,-59.75,66.69,2003-09-01,69,23.06,32.0
309,-3.25,-59.75,94.81,2003-10-01,69,24.0,32.31
310,-3.25,-59.75,111.02,2003-11-01,69,24.0,32.0
311,-3.25,-59.75,90.89,2003-12-01,69,24.0,32.0
312,-3.25,-59.75,183.66,2004-01-01,69,24.44,31.0
313,-3.25,-59.75,152.84,2004-02-01,69,24.0,30.0
314,-3.25,-59.75,354.69,2004-03-01,69,24.0,30.0
315,-3.25,-59.75,212.01,2004-04-01,69,24.0,31.0
316,-3.25,-59.75,393.33,2004-05-01,69,24.0,30.0
317,-3.25,-59.75,124.86,2004-06-01,69,24.0,31.0
318,-3.25,-59.75,58.92,2004-07-01,69,23.0,31.0
319,-3.25,-59.75,140.84,2004-08-01,69,24.0,32.0
320,-3.25,-59.75,106.85,2004-09-01,69,24.0,32.0
321,-3.25,-59.75,75.64,2004-10-01,69,24.12,33.0
322,-3.25,-59.75,32.11,2004-11-01,69,24.0,33.0
323,-3.25,-59.75,138.52,2004-12-01,69,23.0,32.0
324,-3.25,-59.75,161.99,2005-01-01,69,24.25,31.0
325,-3.25,-59.75,284.81,2005-02-01,69,24.0,30.0
326,-3.25,-59.75,308.9,2005-03-01,69,24.0,30.0
327,-3.25,-59.75,362.27,2005-04-01,69,24.06,30.0
328,-3.25,-59.75,237.18,2005-05-01,69,24.0,31.0
329,-3.25,-59.75,60.12,2005-06-01,69,24.0,31.5
330,-3.25,-59.75,52.03,2005-07-01,69,24.0,31.5
331,-3.25,-59.75,20.92,2005-08-01,69,24.0,33.0
332,-3.25,-59.75,46.88,2005-09-01,69,24.0,33.0
333,-3.25,-59.75,67.9,2005-10-01,69,24.0,33.81
334,-3.25,-59.75,212.36,2005-11-01,69,24.0,32.06
335,-3.25,-59.75,327.52,2005-12-01,69,23.0,31.0
336,-3.25,-59.75,181.46,2006-01-01,69,24.0,30.06
337,-3.25,-59.75,323.65,2006-02-01,69,24.0,30.0
338,-3.25,-59.75,296.46,2006-03-01,69,23.0,31.0
339,-3.25,-59.75,266.17,2006-04-01,69,24.0,30.0
340,-3.25,-59.75,359.32,2006-05-01,69,23.0,29.88
341,-3.25,-59.75,87.32,2006-06-01,69,23.0,31.0
342,-3.25,-59.75,87.27,2006-07-01,69,23.0,31.5
343,-3.25,-59.75,36.12,2006-08-01,69,24.0,33.0
344,-3.25,-59.75,36.66,2006-09-01,69,24.0,34.0
345,-3.25,-59.75,76.11,2006-10-01,69,25.0,33.31
346,-3.25,-59.75,291.64,2006-11-01,69,24.0,32.0
347,-3.25,-59.75,253.72,2006-12-01,69,23.62,32.0
348,-3.25,-59.75,368.39,2007-01-01,69,24.0,31.0
349,-3.25,-59.75,151.14,2007-02-01,69,24.0,32.0
350,-3.25,-59.75,332.36,2007-03-01,69,23.12,30.56
351,-3.25,-59.75,352.04,2007-04-01,69,24.0,30.19
352,-3.25,-59.75,205.08,2007-05-01,69,24.0,31.0
353,-3.25,-59.75,93.11,2007-06-01,69,23.06,32.0
354,-3.25,-59.75,110.84,2007-07-01,69,23.0,32.0
355,-3.25,-59.75,125.48,2007-08-01,69,24.0,32.0
356,-3.25,-59.75,68.67,2007-09-01,69,24.0,33.0
357,-3.25,-59.75,80.77,2007-10-01,69,24.0,33.0
358,-3.25,-59.75,207.76,2007-11-01,69,24.0,33.0
359,-3.25,-59.75,275.4,2007-12-01,69,23.0,32.0
360,-3.25,-59.75,434.91,2008-01-01,69,23.0,30.0
361,-3.25,-59.75,280.78,2008-02-01,69,23.69,30.0
362,-3.25,-59.75,423.28,2008-03-01,69,23.0,31.0
363,-3.25,-59.75,290.04,2008-04-01,69,23.12,31.0
364,-3.25,-59.75,268.19,2008-05-01,69,23.0,30.0
365,-3.25,-59.75,197.35,2008-06-01,69,23.0,31.0
366,-3.25,-59.75,72.13,2008-07-01,69,24.0,32.0
367,-3.25,-59.75,61.4,2008-08-01,69,24.19,33.0
368,-3.25,-59.75,79.75,2008-09-01,69,24.0,32.56
369,-3.25,-59.75,156.77,2008-10-01,69,24.0,32.0
370,-3.25,-59.75,230.27,2008-11-01,69,24.0,32.0
371,-3.25,-59.75,386.89,2008-12-01,69,23.0,31.0
372,-3.25,-59.75,295.51,2009-01-01,69,23.88,30.0
373,-3.25,-59.75,402.01,2009-02-01,69,23.19,30.0
374,-3.25,-59.75,298.44,2009-03-01,69,24.0,30.0
375,-3.25,-59.75,244.22,2009-04-01,69,24.0,30.88
376,-3.25,-59.75,157.74,2009-05-01,69,24.0,30.62
377,-3.25,-59.75,157.06,2009-06-01,69,24.0,30.88
378,-3.25,-59.75,47.79,2009-07-01,69,24.0,32.0
379,-3.25,-59.75,27.22,2009-08-01,69,25.0,33.0
380,-3.25,-59.75,15.95,2009-09-01,69,25.0,34.0
381,-3.25,-59.75,62.24,2009-10-01,69,24.69,34.0
382,-3.25,-59.75,112.42,2009-11-01,69,25.0,34.0
383,-3.25,-59.75,244.11,2009-12-01,69,24.0,32.0
384,-3.25,-59.75,423.47,2020-01-01,69,25.0,32.0
385,-3.25,-59.75,249.21,2020-02-01,69,25.0,32.0
386,-3.25,-59.75,378.06,2020-03-01,69,25.0,31.0
387,-3.25,-59.75,321.11,2020-04-01,69,25.0,30.0
388,-3.25,-59.75,282.94,2020-05-01,69,24.56,30.19
389,-3.25,-59.75,189.81,2020-06-01,69,25.0,31.0
390,-3.25,-59.75,51.52,2020-07-01,69,24.0,32.0
391,-3.25,-59.75,31.96,2020-08-01,69,25.0,33.0
392,-3.25,-59.75,121.37,2020-09-01,69,25.0,34.0
393,-3.25,-59.75,128.87,2020-10-01,69,24.12,32.25
394,-3.25,-59.75,422.12,2020-11-01,69,25.0,32.0
395,-3.25,-59.75,375.22,2020-12-01,69,24.0,32.0
396,-3.25,-59.75,162.34,2021-01-01,69,24.0,30.0
397,-3.25,-59.75,306.47,2021-02-01,69,24.0,31.0
398,-3.25,-59.75,509.44,2021-03-01,69,24.0,30.0
399,-3.25,-59.75,159.34,2021-04-01,69,24.88,30.0
400,-3.25,-59.75,182.39,2021-05-01,69,25.0,30.0
401,-3.25,-59.75,215.24,2021-06-01,69,24.88,31.0
402,-3.25,-59.75,138.55,2021-07-01,69,24.0,31.0
403,-3.25,-59.75,163.56,2021-08-01,69,25.0,33.0
404,-3.25,-59.75,25.84,2021-09-01,69,24.25,32.0
405,-3.25,-59.75,177.22,2021-10-01,69,25.0,33.0
406,-3.25,-59.75,255.07,2021-11-01,69,25.0,31.88
407,-3.25,-59.75,219.01,2021-12-01,69,24.0,30.0
408,-3.25,-59.75,270.01,2010-01-01,69,24.0,32.0
409,-3.25,-59.75,279.2,2010-02-01,69,24.81,31.0
410,-3.25,-59.75,210.39,2010-03-01,69,24.0,31.62
411,-3.25,-59.75,326.88,2010-04-01,69,24.0,30.0
412,-3.25,-59.75,184.54,2010-05-01,69,25.0,31.0
413,-3.25,-59.75,116.34,2010-06-01,69,24.0,31.5
414,-3.25,-59.75,95.53,2010-07-01,69,24.0,31.0
415,-3.25,-59.75,50.41,2010-08-01,69,24.12,33.0
416,-3.25,-59.75,36.48,2010-09-01,69,25.0,34.0
417,-3.25,-59.75,110.28,2010-10-01,69,24.0,34.0
418,-3.25,-59.75,139.12,2010-11-01,69,24.0,32.0
419,-3.25,-59.75,273.42,2010-12-01,69,23.0,31.38
420,-3.25,-59.75,241.92,2011-01-01,69,24.0,30.0
